run,phase,ts,setup,prep,pureTcp,authAckRtt,keyReady,respAKE,hs2secrets,helloAuth,peer,peerTotal
36,steady,2026-09-10 14:56:30.345,15.8335,4.855,10.4655,16.929599999999997,18.2811,1.2482,18.2819,29.470299999999998,29.6628,45.4964
37,steady,2026-09-10 14:56:57.962,16.4975,3.9629000000000003,11.7774,17.526,18.9444,1.3437999999999999,18.9451,30.1154,30.3472,46.844699999999996
38,steady,2026-09-10 14:57:00.080,18.1575,6.974600000000001,10.812899999999999,18.9887,24.5755,5.521199999999999,24.576900000000002,36.156800000000004,36.4206,54.5781
39,steady,2026-09-10 14:57:02.188,16.6863,5.2813,10.501100000000001,17.216099999999997,18.5925,1.3331,18.5929,29.4633,29.8064,46.4927
40,steady,2026-09-10 14:57:29.649,12.6213,1.8103,10.464,14.5905,18.827099999999998,4.1593,18.828,29.7941,29.993299999999998,42.6147
41,steady,2026-09-10 14:57:31.770,20.4928,9.354700000000001,10.5441,20.7385,24.3167,3.336,24.3186,35.8834,36.4305,56.923300000000005
42,steady,2026-09-10 14:57:33.871,13.3638,2.1431999999999998,10.316600000000001,16.916,18.2669,1.3029000000000002,18.2675,29.069200000000002,29.258599999999998,42.6224
43,steady,2026-09-10 14:57:35.977,17.0058,6.0306999999999995,10.6286,14.282,15.8845,1.5050999999999999,15.8858,27.8933,28.231,45.2368
44,steady,2026-09-10 14:57:38.089,13.6517,2.3668,10.6464,13.612,15.264,1.563,15.264700000000001,26.0518,26.2103,39.8621
45,steady,2026-09-10 14:57:40.210,17.3548,6.293699999999999,10.5984,15.171,17.9041,2.6419,17.9056,29.043,29.4954,46.850199999999994
46,steady,2026-09-10 14:57:42.334,14.712299999999999,3.4861999999999997,10.6883,19.807599999999997,21.6334,1.787,21.6343,32.882400000000004,33.0814,47.793699999999994
47,steady,2026-09-10 14:57:44.448,14.4336,2.7494,10.635,17.9007,20.1038,2.1495,20.104200000000002,31.046799999999998,31.279400000000003,45.713
48,steady,2026-09-10 14:57:46.559,13.6616,2.3893,10.8167,14.8955,19.9406,4.977,19.9415,31.0885,31.333299999999998,44.995
49,steady,2026-09-10 14:57:48.670,19.434900000000003,8.4007,10.7328,14.197799999999999,15.806,1.5301,15.807799999999999,27.1943,27.581,47.0159
50,steady,2026-09-10 14:57:50.797,13.1993,2.2753,10.4,16.870099999999997,18.1863,1.2746,18.187099999999997,29.1146,29.2655,42.464800000000004
51,steady,2026-09-10 14:57:52.923,17.579099999999997,6.39,10.642299999999999,17.080599999999997,19.281299999999998,1.9847000000000001,19.282799999999998,30.7593,31.1025,48.681599999999996
52,steady,2026-09-10 14:57:55.028,14.158700000000001,3.1875,10.4948,17.7792,22.4897,4.6501,22.4913,34.061800000000005,34.5114,48.6701
53,steady,2026-09-10 14:57:57.165,20.685200000000002,9.6759,10.4852,17.338900000000002,18.788400000000003,1.3827,18.7892,29.918200000000002,30.1412,50.8264
54,steady,2026-09-10 14:57:59.271,13.1097,2.237,10.392,17.7291,18.9252,1.1389,18.9256,29.8292,30.098200000000002,43.2079
55,steady,2026-09-10 14:58:01.392,13.3033,2.4888000000000003,10.3319,20.9396,22.217200000000002,1.2069,22.2179,33.0806,33.3434,46.646699999999996
56,steady,2026-09-10 14:58:03.493,13.115,1.9510999999999998,10.6848,14.252,15.773399999999999,1.4653,15.774,26.5849,26.7212,39.8362
57,steady,2026-09-10 14:58:05.611,17.552599999999998,6.3849,10.6357,17.843799999999998,19.8594,1.9442000000000002,19.8601,30.9495,31.205,48.7576
58,steady,2026-09-10 14:58:07.717,17.0508,5.8227,10.5914,18.0477,19.4013,1.2784,19.402,30.3861,30.6206,47.6714
59,steady,2026-09-10 14:58:09.823,13.5953,2.7811999999999997,10.3333,14.7086,15.8664,1.0782,15.8669,26.850099999999998,27.0765,40.671699999999994
60,steady,2026-09-10 14:58:11.940,13.7694,2.8655,10.4501,19.0846,23.9312,4.7982,23.9328,35.2653,35.6241,49.3935
61,steady,2026-09-10 14:58:14.053,13.1586,2.2671,10.3964,14.078100000000001,15.3495,1.2153,15.350100000000001,26.2576,26.4493,39.607800000000005
62,steady,2026-09-10 14:58:16.171,14.7538,3.6293,10.572799999999999,17.491,18.7652,1.2392,18.765900000000002,29.6758,29.895,44.6488
63,steady,2026-09-10 14:58:18.280,14.0406,2.7512,10.6679,16.5065,17.6891,1.131,17.689700000000002,28.5337,28.7643,42.805
64,steady,2026-09-10 14:58:20.402,13.2424,2.2876999999999996,10.3961,17.0823,20.574,3.4276999999999997,20.5746,31.3986,31.5936,44.836
65,steady,2026-09-10 14:58:42.412,13.9551,2.7789,10.4534,17.659599999999998,19.0453,1.3135,19.0458,30.168,30.540200000000002,44.495400000000004
66,steady,2026-09-10 14:58:44.521,21.1836,9.3427,11.2232,15.1249,16.551299999999998,1.2722,16.552799999999998,27.390900000000002,27.708599999999997,48.892199999999995
67,steady,2026-09-10 14:58:46.630,13.469299999999999,2.2853000000000003,10.5245,14.2595,15.8888,1.571,15.8895,27.264200000000002,27.490599999999997,40.959900000000005
68,steady,2026-09-10 14:58:48.744,17.1958,6.146199999999999,10.6069,20.509400000000003,21.913400000000003,1.34,21.9139,32.9041,33.1259,50.3217
69,steady,2026-09-10 14:59:16.355,17.3135,5.8704,10.9163,17.343,18.8741,1.4467999999999999,18.876,29.9437,30.4026,47.7161
70,steady,2026-09-10 14:59:18.471,15.899899999999999,4.908,10.6554,14.671299999999999,16.7479,2.018,16.7497,28.124200000000002,28.3543,44.2542
71,steady,2026-09-10 14:59:46.137,15.6494,4.3157,10.5525,17.7455,22.1546,4.3521,22.156,33.4838,33.7606,49.41
72,steady,2026-09-10 14:59:48.262,14.5175,3.6532,10.3369,22.319,27.0334,4.6655,27.0352,38.5683,39.0306,53.548199999999994
73,steady,2026-09-10 14:59:50.374,14.084200000000001,3.0479000000000003,10.3811,17.1094,18.9724,1.8202,18.9733,30.0504,30.386400000000002,44.4706
74,steady,2026-09-10 14:59:52.486,12.2889,1.5393,10.399899999999999,17.3823,22.6573,5.227,22.659,33.944300000000005,34.3493,46.6382
75,steady,2026-09-10 14:59:54.598,12.914299999999999,2.1425,10.315299999999999,14.6154,15.9876,1.3199,15.9882,27.0637,27.295,40.209199999999996
76,steady,2026-09-10 14:59:56.715,14.0812,3.4181999999999997,10.271700000000001,17.696900000000003,21.8079,4.0611999999999995,21.8086,32.9075,33.1554,47.236599999999996
77,steady,2026-09-10 14:59:58.822,16.278200000000002,5.2606,10.534799999999999,14.787,16.832900000000002,2.0067,16.833299999999998,28.2196,28.596700000000002,44.875
78,steady,2026-09-10 15:00:00.940,16.7087,5.1718,10.624799999999999,14.1801,15.2941,1.0351,15.2943,26.3156,26.5642,43.2729
79,steady,2026-09-10 15:00:03.064,13.4185,2.5821,10.2958,19.3391,23.7822,4.396100000000001,23.7826,35.1211,35.450199999999995,48.8687
80,steady,2026-09-10 15:00:05.178,13.3552,2.4693,10.3705,17.73,19.2177,1.4465,19.218,30.103900000000003,30.3547,43.709900000000005
81,steady,2026-09-10 15:00:07.306,13.5671,2.6637,10.3826,18.7458,20.060599999999997,1.2658,20.0609,30.987299999999998,31.2168,44.7839
82,steady,2026-09-10 15:00:09.422,13.2914,2.4475,10.3282,17.8582,19.119799999999998,1.2032,19.12,30.119,30.3334,43.6247
